latitude,longitude,turbidez,clorofila,data,B2,B3,B4,B5,B8,B11,NDCI,NDVI,FAI,MNDWI,B3_B2_ratio,B4_B3_ratio,B5_B4_ratio,Image_Date,Cloud_Percentage,Month,Season
-18.8325,-45.13306,,1.07,2019-05-22,154.0,207.0,122.0,88.0,45.0,25.0,-0.1619047619047619,-0.46107784431137727,-59.75555555555556,0.7844827586206896,1.344155844155844,0.5893719806763285,0.7213114754098361,2019-06-06,0.009675,6.0,3.0
-18.88812,-45.20045,,1.07,2019-08-21,298.0,412.0,152.0,122.0,69.0,40.0,-0.10948905109489052,-0.3755656108597285,-63.0888888888889,0.8230088495575221,1.3825503355704698,0.36893203883495146,0.8026315789473685,2019-09-04,0.006496,9.0,4.0
-18.89833,-45.12083,,1.07,2019-08-21,275.0,402.0,140.0,99.0,50.0,32.0,-0.17154811715481172,-0.47368421052631576,-70.8,0.8525345622119815,1.461818181818182,0.3482587064676617,0.7071428571428572,2019-09-04,0.006496,9.0,4.0
-18.8325,-45.13306,,1.07,2019-08-21,328.0,467.0,184.0,147.0,83.0,50.0,-0.11178247734138973,-0.3782771535580524,-77.17777777777778,0.8065764023210832,1.423780487804878,0.39400428265524623,0.7989130434782609,2019-09-04,0.006496,9.0,4.0
-18.57222,-45.26083,,1.07,2019-08-22,332.0,476.0,177.0,136.0,78.0,42.0,-0.13099041533546327,-0.38823529411764707,-75.0,0.8378378378378378,1.4337349397590362,0.37184873949579833,0.768361581920904,2019-09-04,0.006496,9.0,4.0
-18.48928,-45.42733,,1.07,2019-08-22,331.0,333.0,138.0,117.0,75.0,34.0,-0.08235294117647059,-0.29577464788732394,-44.51111111111112,0.8147138964577657,1.0060422960725075,0.4144144144144144,0.8478260869565217,2019-09-04,0.006496,9.0,4.0
-18.22376,-45.26183,,1.07,2019-08-22,255.0,268.0,124.0,93.0,74.0,40.0,-0.14285714285714285,-0.25252525252525254,-35.06666666666666,0.7402597402597403,1.0509803921568628,0.4626865671641791,0.75,2019-09-04,0.006496,9.0,4.0
-18.8325,-45.13306,,1.07,2019-11-20,545.0,832.0,346.0,274.0,111.0,74.0,-0.11612903225806452,-0.5142231947483589,-186.64444444444445,0.8366445916114791,1.526605504587156,0.41586538461538464,0.791907514450867,2019-11-03,26.111246,11.0,4.0
-18.22376,-45.26183,,1.07,2019-11-20,679.0,678.0,422.0,386.0,303.0,160.0,-0.04455445544554455,-0.16413793103448276,-72.42222222222222,0.6181384248210023,0.9985272459499264,0.6224188790560472,0.9146919431279621,2019-11-03,26.111246,11.0,4.0
-18.88812,-45.20045,,1.07,2019-11-20,437.0,736.0,276.0,196.0,65.0,26.0,-0.1694915254237288,-0.6187683284457478,-166.55555555555554,0.931758530183727,1.6842105263157894,0.375,0.7101449275362319,2019-11-03,26.111246,11.0,4.0
-18.48928,-45.42733,,1.07,2019-11-21,379.0,473.0,189.0,166.0,104.0,37.0,-0.0647887323943662,-0.2901023890784983,-57.97777777777779,0.8549019607843137,1.2480211081794195,0.39957716701902746,0.8783068783068783,2019-11-03,26.111246,11.0,4.0
-18.57222,-45.26083,,1.07,2019-11-21,513.0,669.0,288.0,261.0,164.0,121.0,-0.04918032786885246,-0.2743362831858407,-94.31111111111113,0.6936708860759494,1.304093567251462,0.4304932735426009,0.90625,2019-11-03,26.111246,11.0,4.0
-18.88812,-45.20045,,1.07,2020-02-09,443.0,677.0,302.0,264.0,118.0,61.0,-0.06713780918727916,-0.4380952380952381,-141.15555555555557,0.8346883468834688,1.528216704288939,0.4460856720827179,0.8741721854304636,2020-02-01,14.123249,2.0,1.0
